Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-7 P-07,Tom Hoch,Jacob Frey,Al Flowers,1
MINNEAPOLIS W-12 P-09,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-9 P-02,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-13 P-04,Nekima Levy-Pounds,Jacob Frey,Al Flowers,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-11 P-05,Betsy Hodges,David Rosenfeld,Captain Jack Sparrow,1
MINNEAPOLIS W-6 P-06,Betsy Hodges,Betsy Hodges,undervote,1
MINNEAPOLIS W-12 P-01,Nekima Levy-Pounds,David Rosenfeld,Al Flowers,1
MINNEAPOLIS W-9 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-10 P-07,Raymond Dehn,Al Flowers,Betsy Hodges,1
MINNEAPOLIS W-3 P-07,Tom Hoch,Aswar Rahman,Jacob Frey,1
MINNEAPOLIS W-3 P-12,Raymond Dehn,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-6 P-03,Raymond Dehn,David Rosenfeld,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-08,Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-11 P-03,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-5 P-08,Jacob Frey,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-13 P-10,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-8 P-07,Raymond Dehn,Al Flowers,Nekima Levy-Pounds,1
MINNEAPOLIS W-8 P-05,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-9 P-03,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Betsy Hodges,Raymond Dehn,Ian Simpson,1
MINNEAPOLIS W-1 P-09,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-6 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-13 P-13,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-8 P-05,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-12 P-13,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-12 P-12,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-7 P-05,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-3 P-07,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-8 P-03,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-6 P-08,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Betsy Hodges,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-8 P-05,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-03,Raymond Dehn,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-6 P-02,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-11 P-02,Betsy Hodges,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-7 P-01C,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-8 P-06,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-4 P-03,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-4 P-03,Jacob Frey,Nekima Levy-Pounds,David John Wilson,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-11 P-01,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-7 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-11 P-01,Jacob Frey,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-13 P-11,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-11 P-04,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Raymond Dehn,Al Flowers,undervote,1
MINNEAPOLIS W-13 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-7 P-05,Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-7 P-04D,Jacob Frey,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-3 P-02,Raymond Dehn,David Rosenfeld,Captain Jack Sparrow,1
MINNEAPOLIS W-3 P-07,Tom Hoch,Raymond Dehn,Ian Simpson,1
MINNEAPOLIS W-3 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-12 P-01,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-9 P-03,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-1 P-05,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-8 P-08,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-8 P-04,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-13 P-06,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-11 P-10,Jacob Frey,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-5 P-04,Nekima Levy-Pounds,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-11 P-04,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-07,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-11 P-05,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-10 P-02,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-11 P-08,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-09,Nekima Levy-Pounds,L.A. Nik,Aswar Rahman,1
MINNEAPOLIS W-2 P-01,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-12 P-12,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-10 P-08,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-03,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-11 P-05,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-6 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-11 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-7 P-06,Betsy Hodges,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-06,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-3 P-01,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-3 P-09,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-04,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-9 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-06,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
