Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,L.A. Nik,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,David Rosenfeld,1
MINNEAPOLIS W-1 P-02,L.A. Nik,Charlie Gers,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Betsy Hodges,Charlie Gers,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,UWI,David Rosenfeld,Ian Simpson,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Troy Benjegerdes,Gregg A. Iverson,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,L.A. Nik,undervote,1
MINNEAPOLIS W-1 P-02,Charlie Gers,Ian Simpson,Captain Jack Sparrow,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Ronald Lischeid,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Ronald Lischeid,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Captain Jack Sparrow,Al Flowers,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,David John Wilson,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Troy Benjegerdes,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Charlie Gers,undervote,undervote,1
MINNEAPOLIS W-1 P-02,L.A. Nik,Charlie Gers,Ian Simpson,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Charlie Gers,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Captain Jack Sparrow,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Charlie Gers,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Charlie Gers,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,David John Wilson,Charlie Gers,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Captain Jack Sparrow,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-1 P-02,L.A. Nik,Captain Jack Sparrow,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Gregg A. Iverson,Ronald Lischeid,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Al Flowers,David John Wilson,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Ronald Lischeid,1
MINNEAPOLIS W-1 P-02,L.A. Nik,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,L.A. Nik,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Charlie Gers,UWI,UWI,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Captain Jack Sparrow,Ronald Lischeid,1
MINNEAPOLIS W-1 P-02,Al Flowers,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,David Rosenfeld,Nekima Levy-Pounds,David John Wilson,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,David Rosenfeld,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-1 P-02,Troy Benjegerdes,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Charlie Gers,L.A. Nik,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-1 P-02,L.A. Nik,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Charlie Gers,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Charlie Gers,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Ronald Lischeid,Captain Jack Sparrow,Troy Benjegerdes,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Captain Jack Sparrow,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,David John Wilson,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,L.A. Nik,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Aswar Rahman,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Nekima Levy-Pounds,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,L.A. Nik,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Charlie Gers,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-1 P-02,Charlie Gers,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Gregg A. Iverson,Captain Jack Sparrow,Al Flowers,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Aswar Rahman,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,David Rosenfeld,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,David Rosenfeld,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Tom Hoch,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,UWI,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Troy Benjegerdes,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-02,Aswar Rahman,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,L.A. Nik,Captain Jack Sparrow,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Al Flowers,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Charlie Gers,Captain Jack Sparrow,L.A. Nik,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Troy Benjegerdes,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Tom Hoch,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Aswar Rahman,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Al Flowers,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Captain Jack Sparrow,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,David Rosenfeld,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Aswar Rahman,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,L.A. Nik,Charlie Gers,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Ian Simpson,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Captain Jack Sparrow,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Ronald Lischeid,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Aswar Rahman,Ronald Lischeid,1
MINNEAPOLIS W-1 P-02,Charlie Gers,Tom Hoch,L.A. Nik,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Al Flowers,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Aswar Rahman,Al Flowers,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-1 P-02,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Captain Jack Sparrow,Ian Simpson,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-02,Betsy Hodges,Nekima Levy-Pounds,undervote,1
